"ShelterID", "ID", "Animal", "Breed", "Breed2", "Size", "Name", "Sex", "SpayedNeutered", "Age", "HairLength", "Description", "Status", "GoodWKids", "GoodWCats", "GoodWDogs", "SpecialNeeds", "NeedsExperiencedAdopter", "ShotsCurrent", "Housetrained", "Declawed", "GoodWSmallAnimals", "GoodWBirds", "Rideable", "PhotoURL", "Purebred", "Color", "Color2"
"74746","A396390","Dog","Labrador Retriever","NULL","L","MOLLY","F","Y","Senior","NULL","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A396390&location=VNTR&2017-02-27T10:41:44.213","N","Black - with White","NULL"
"74746","A404318","Cat","Domestic Shorthair","NULL","NULL","PRECIOUS","F","Y","Senior","Short","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A404318&location=VNTR&2017-04-06T02:02:56.517","N","Brown Tabby","NULL"
"74746","A411489","Dog","Glen of Imaal Terrier","NULL","M","MARTINI","M","Y","Adult","NULL","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A411489&location=VNTR&2017-04-20T15:32:44.303","Y","Tan/Yellow/Fawn","NULL"
"74746","A419028","Cat","Domestic Longhair","NULL","NULL","*MARQUIS","M","Y","Senior","Long","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A419028&location=VNTR&2017-03-17T10:54:30.830","N","Gray or Blue","NULL"
"74746","A435394","Cat","Domestic Shorthair","NULL","NULL","TANI","F","Y","Senior","Short","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A435394&location=VNTR&2017-03-31T13:42:24.323","N","Black (All)","NULL"
"74746","A440552","Dog","Chihuahua - Smooth Coated","NULL","S","ISABELLA","F","Y","Senior","NULL","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A440552&location=VNTR&2017-04-16T15:46:12.613","Y","Tan/Yellow/Fawn","NULL"
"74746","A440985","Dog","Pit Bull Terrier","Labrador Retriever","L","CHULA","F","Y","Senior","NULL","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A440985&location=VNTR&2017-04-15T10:21:52.553","N","White - with Tan, Yellow or Fawn","NULL"
"74746","A440986","Dog","Pit Bull Terrier","Labrador Retriever","L","FLACA","F","Y","Senior","NULL","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A440986&location=VNTR&2016-11-27T16:34:04.203","N","White - with Brown or Chocolate","NULL"
"74746","A471864","Dog","Chihuahua - Smooth Coated","NULL","S","BLACKIE","M","Y","Adult","NULL","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A471864&location=VNTR&2017-04-16T15:46:14.227","Y","Black","NULL"
"74746","A479019","Dog","Boxer","NULL","L","BABY","F","Y","Senior","NULL","NULL","AVAILABLE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://petharbor.com/get_image.asp?res=DETAIL&id=A479019&location=VNTR&2017-05-03T00:13:08.123","Y","Brown/Chocolate","NULL"
